 *  Executing task in folder MatrixClockv0: platformio device monitor 

--- Terminal on /dev/cu.usbserial-02280638 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Loop number: 100 time of loop(us): 44686 of alien_task_time 
Loop number: 200 time of loop(us): 44672 of alien_task_time 
Loop number: 300 time of loop(us): 44673 of alien_task_time 
Loop number: 400 time of loop(us): 1110 of alien_task_time 
Loop number: 500 time of loop(us): 1104 of alien_task_time 
Loop number: 600 time of loop(us): 1677 of alien_task_time 
Loop number: 700 time of loop(us): 1675 of alien_task_time 
Loop number: 800 time of loop(us): 2252 of alien_task_time 
Loop number: 900 time of loop(us): 2255 of alien_task_time 
Loop number: 1000 time of loop(us): 2255 of alien_task_time 
Loop number: 1100 time of loop(us): 2253 of alien_task_time 
Loop number: 1200 time of loop(us): 2261 of alien_task_time 
Loop number: 1300 time of loop(us): 3003 of alien_task_time 
Loop number: 1400 time of loop(us): 3006 of alien_task_time 
Loop number: 1500 time of loop(us): 3579 of alien_task_time 
Loop number: 1600 time of loop(us): 3863 of alien_task_time 
Loop number: 1700 time of loop(us): 4002 of alien_task_time 
Loop number: 1800 time of loop(us): 56654 of alien_task_time 
Loop number: 1900 time of loop(us): 1298 of alien_task_time 
Loop number: 2000 time of loop(us): 1282 of alien_task_time 
Loop number: 2100 time of loop(us): 1862 of alien_task_time 
Loop number: 2200 time of loop(us): 1862 of alien_task_time 
Loop number: 2300 time of loop(us): 1699 of alien_task_time 
Loop number: 2400 time of loop(us): 2263 of alien_task_time 
Loop number: 2500 time of loop(us): 2276 of alien_task_time 
Loop number: 2600 time of loop(us): 2263 of alien_task_time 
Loop number: 2700 time of loop(us): 2444 of alien_task_time 
Loop number: 2800 time of loop(us): 3148 of alien_task_time 
Loop number: 2900 time of loop(us): 3358 of alien_task_time 
Loop number: 3000 time of loop(us): 2571 of alien_task_time 
Loop number: 3100 time of loop(us): 2581 of alien_task_time 
Loop number: 3200 time of loop(us): 2568 of alien_task_time 
Loop number: 3300 time of loop(us): 40514 of alien_task_time 
Loop number: 3400 time of loop(us): 40532 of alien_task_time 
Loop number: 3500 time of loop(us): 1111 of alien_task_time 
Loop number: 3600 time of loop(us): 1119 of alien_task_time 
Loop number: 3700 time of loop(us): 1114 of alien_task_time 
Loop number: 3800 time of loop(us): 1109 of alien_task_time 
Loop number: 3900 time of loop(us): 1703 of alien_task_time 
Loop number: 4000 time of loop(us): 1696 of alien_task_time 
Loop number: 4100 time of loop(us): 2270 of alien_task_time 
Loop number: 4200 time of loop(us): 2266 of alien_task_time 
Loop number: 4300 time of loop(us): 2279 of alien_task_time 
Loop number: 4400 time of loop(us): 2277 of alien_task_time 
Loop number: 4500 time of loop(us): 2837 of alien_task_time 
Loop number: 4600 time of loop(us): 2838 of alien_task_time 
Loop number: 4700 time of loop(us): 2859 of alien_task_time 
Loop number: 4800 time of loop(us): 3419 of alien_task_time 
Loop number: 4900 time of loop(us): 3418 of alien_task_time 
Loop number: 5000 time of loop(us): 3421 of alien_task_time 
Loop number: 5100 time of loop(us): 3429 of alien_task_time 
Loop number: 5200 time of loop(us): 3984 of alien_task_time 
Loop number: 5300 time of loop(us): 44707 of alien_task_time 
Loop number: 5400 time of loop(us): 44689 of alien_task_time 
Loop number: 5500 time of loop(us): 44673 of alien_task_time 
Loop number: 5600 time of loop(us): 44689 of alien_task_time 
Loop number: 5700 time of loop(us): 44673 of alien_task_time 
Loop number: 5800 time of loop(us): 44689 of alien_task_time 
Loop number: 5900 time of loop(us): 44673 of alien_task_time 
Loop number: 6000 time of loop(us): 44689 of alien_task_time 
Loop number: 6100 time of loop(us): 44673 of alien_task_time 
Loop number: 6200 time of loop(us): 44689 of alien_task_time 
Loop number: 6300 time of loop(us): 44673 of alien_task_time 
Loop number: 6400 time of loop(us): 44689 of alien_task_time 
Loop number: 6500 time of loop(us): 1110 of alien_task_time 
Loop number: 6600 time of loop(us): 1102 of alien_task_time 
Loop number: 6700 time of loop(us): 1103 of alien_task_time 
Loop number: 6800 time of loop(us): 1110 of alien_task_time 
Loop number: 6900 time of loop(us): 1674 of alien_task_time 
Loop number: 7000 time of loop(us): 1675 of alien_task_time 
Loop number: 7100 time of loop(us): 1686 of alien_task_time 
Loop number: 7200 time of loop(us): 1682 of alien_task_time 
Loop number: 7300 time of loop(us): 2254 of alien_task_time 
Loop number: 7400 time of loop(us): 2253 of alien_task_time 
Loop number: 7500 time of loop(us): 2253 of alien_task_time 
Loop number: 7600 time of loop(us): 2835 of alien_task_time 
Loop number: 7700 time of loop(us): 2827 of alien_task_time 
Loop number: 7800 time of loop(us): 2835 of alien_task_time 
Loop number: 7900 time of loop(us): 40521 of alien_task_time 
