 *  Executing task in folder MatrixClockv0: platformio device monitor 

--- Terminal on /dev/cu.usbserial-02280638 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
!�␘#�␑␐B�����␌^�ՖC*wm:AutoConnect 
*wm:Connecting to SAVED AP: Túlio ’s iPhone
*wm:connectTimeout not set, ESP waitForConnectResult... 
*wm:AutoConnect: SUCCESS 
*wm:STA IP Address: 172.20.10.8
Connected
Loop number: 0 time of loop(us): 53
Loop number: 0 time of loop(us): 8
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 4
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
Loop number: 0 time of loop(us): 5
TOUCHED PIN 27, counter = 
1
E (10200) ledc: ledc_channel_config(608): gpio_num argument is invalid
200
