 *  Executing task in folder MatrixClockv0: platformio device monitor 

--- Terminal on /dev/cu.usbserial-02280638 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Loop number: 100 time of loop(us): 2 of lora_game_task_time: 
Loop number: 200 time of loop(us): 1 of lora_game_task_time: 
Loop number: 300 time of loop(us): 2 of lora_game_task_time: 
Loop number: 400 time of loop(us): 2 of lora_game_task_time: 
Loop number: 500 time of loop(us): 1 of lora_game_task_time: 
Loop number: 600 time of loop(us): 2 of lora_game_task_time: 
Loop number: 700 time of loop(us): 1 of lora_game_task_time: 
Loop number: 800 time of loop(us): 2 of lora_game_task_time: 
Loop number: 900 time of loop(us): 1 of lora_game_task_time: 
Loop number: 1000 time of loop(us): 1 of lora_game_task_time: 
Loop number: 1100 time of loop(us): 1 of lora_game_task_time: 
Loop number: 1200 time of loop(us): 1 of lora_game_task_time: 
Loop number: 1300 time of loop(us): 2 of lora_game_task_time: 
Loop number: 1400 time of loop(us): 1 of lora_game_task_time: 
Loop number: 1500 time of loop(us): 2 of lora_game_task_time: 
Loop number: 1600 time of loop(us): 2 of lora_game_task_time: 
Loop number: 1700 time of loop(us): 1 of lora_game_task_time: 
Loop number: 1800 time of loop(us): 1 of lora_game_task_time: 
Loop number: 1900 time of loop(us): 1 of lora_game_task_time: 
Loop number: 2000 time of loop(us): 2 of lora_game_task_time: 
Loop number: 2100 time of loop(us): 2 of lora_game_task_time: 
Loop number: 2200 time of loop(us): 1 of lora_game_task_time: 
Loop number: 2300 time of loop(us): 1 of lora_game_task_time: 
Loop number: 2400 time of loop(us): 1 of lora_game_task_time: 
Loop number: 2500 time of loop(us): 1 of lora_game_task_time: 
Loop number: 2600 time of loop(us): 2 of lora_game_task_time: 
Loop number: 2700 time of loop(us): 1 of lora_game_task_time: 
Loop number: 2800 time of loop(us): 1 of lora_game_task_time: 
Loop number: 2900 time of loop(us): 1 of lora_game_task_time: 
Loop number: 3000 time of loop(us): 2 of lora_game_task_time: 
Loop number: 3100 time of loop(us): 2 of lora_game_task_time: 
Loop number: 3200 time of loop(us): 1 of lora_game_task_time: 
Loop number: 3300 time of loop(us): 1 of lora_game_task_time: 
Loop number: 3400 time of loop(us): 2 of lora_game_task_time: 
Loop number: 3500 time of loop(us): 2 of lora_game_task_time: 
Loop number: 3600 time of loop(us): 2 of lora_game_task_time: 
Loop number: 3700 time of loop(us): 2 of lora_game_task_time: 
Loop number: 3800 time of loop(us): 1 of lora_game_task_time: 
Loop number: 3900 time of loop(us): 1 of lora_game_task_time: 
Loop number: 4000 time of loop(us): 1 of lora_game_task_time: 
Loop number: 4100 time of loop(us): 7966 of lora_game_task_time: 
Loop number: 4200 time of loop(us): 1 of lora_game_task_time: 
Loop number: 4300 time of loop(us): 1 of lora_game_task_time: 
Loop number: 4400 time of loop(us): 2 of lora_game_task_time: 
Loop number: 4500 time of loop(us): 1 of lora_game_task_time: 
Loop number: 4600 time of loop(us): 1 of lora_game_task_time: 
Loop number: 4700 time of loop(us): 1 of lora_game_task_time: 
Loop number: 4800 time of loop(us): 1 of lora_game_task_time: 
Loop number: 4900 time of loop(us): 1 of lora_game_task_time: 
Loop number: 5000 time of loop(us): 2 of lora_game_task_time: 
Loop number: 5100 time of loop(us): 1 of lora_game_task_time: 
